"","des","x","y","MLBCODE","pitcher","type","team","inning","date","gameday_link","LASTNAME","FIRSTNAME","PLAYERID","DAVENPORTCODE","RETROSHEETCODE","batter_name","year"
"291","Single",142.154761904762,140.972222222222,592696,621107,"H","A",1,2019-03-28,"gid_2019_04_07_minmlb_phimlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"292","Single",142.867571233017,76.6551896329888,592696,475115,"H","H",6,2019-03-28,"gid_2019_04_13_detmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"293","Single",144.6,90.41,592696,607219,"H","H",4,2018-04-05,"gid_2018_04_28_cinmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"294","Single",147.88113317757,92.1495327102804,592696,519455,"H","H",1,2019-03-28,"gid_2019_04_14_detmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"295","Single",148.25,86.1150793650794,592696,601713,"H","A",5,2019-03-28,"gid_2019_04_05_minmlb_phimlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"296","Single",148.278329439252,90.5607476635514,596146,593679,"H","H",7,2019-03-28,"gid_2019_04_26_balmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"297","Single",151.37,105.33,596146,607237,"H","H",6,2018-04-05,"gid_2018_04_27_cinmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"298","Single",153.5,125.81,596146,543243,"H","A",4,2018-04-05,"gid_2018_04_25_minmlb_nyamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"299","Single",155.53,163.9,592696,542960,"H","A",9,2018-04-05,"gid_2018_03_29_minmlb_balmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"300","Single",157.057395418327,86.6932257998037,596146,444468,"H","A",7,2019-03-28,"gid_2019_04_23_minmlb_houmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"301","Single",159.597236055777,119.203185959166,596146,657624,"H","A",6,2019-03-28,"gid_2019_04_22_minmlb_houmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"302","Single",162.85,85.65,596146,542882,"H","A",8,2018-04-05,"gid_2018_04_21_minmlb_tbamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"303","Single",164.18,101.89,592696,630023,"H","A",3,2018-04-05,"gid_2018_04_22_minmlb_tbamlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"304","Single",168.43,110.18,596146,605164,"H","A",3,2018-04-05,"gid_2018_03_29_minmlb_balmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"305","Single",169.659299873039,114.63856273705,596146,594798,"H","A",4,2019-03-28,"gid_2019_04_09_minmlb_nynmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"306","Single",173.42,100.41,592696,571735,"H","A",8,2018-04-05,"gid_2018_04_23_minmlb_nyamlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"307","Single",174.36,101.39,592696,446372,"H","H",4,2018-04-05,"gid_2018_04_17_clemlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"308","Single",175.3,105.92,592696,458708,"H","H",16,2018-04-05,"gid_2018_04_18_clemlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"309","Single",178.85,111.51,596146,471911,"H","H",5,2018-04-05,"gid_2018_04_18_clemlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"310","Single",181.245619158878,119.953271028037,592696,475115,"H","H",3,2019-03-28,"gid_2019_04_13_detmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"311","Single",183.47,121.24,592696,503449,"H","A",9,2019-03-28,"gid_2019_04_03_minmlb_kcamlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"312","Single",183.96,110.21,596146,453562,"H","A",5,2019-03-28,"gid_2019_04_06_minmlb_phimlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"313","Single",184.157656585298,119.772654877211,596146,502085,"H","A",8,2019-03-28,"gid_2019_04_07_minmlb_phimlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"314","Single",184.389020026696,110.172975820003,592696,502748,"H","A",1,2019-03-28,"gid_2019_04_22_minmlb_houmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"315","Single",185.87,111.09,592696,542882,"H","A",9,2018-04-05,"gid_2018_04_21_minmlb_tbamlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"316","Single",186.80636682243,117.570093457944,596146,475115,"H","H",3,2019-03-28,"gid_2019_04_13_detmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"317","Single",191.374123831776,108.03738317757,596146,657624,"H","H",8,2019-03-28,"gid_2019_04_30_houmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"318","Single",200.11,100.89,596146,656186,"H","H",6,2018-04-05,"gid_2018_04_05_seamlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"319","Single",203.692533548123,119.74194441409,596146,598286,"H","H",6,2019-03-28,"gid_2019_04_12_detmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"320","Single",213.863769780643,91.1384617420887,592696,605541,"H","A",4,2019-03-28,"gid_2019_04_19_minmlb_balmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"321","Single",213.863769780643,91.1384617420887,592696,605541,"H","A",4,2019-03-28,"gid_2019_04_20_minmlb_balmlb_2","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"322","Triple",163.56,77,592696,621121,"H","H",4,2018-04-05,"gid_2018_04_11_houmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"323","Triple",198.43,104.91,596146,592717,"H","H",4,2018-04-05,"gid_2018_04_30_tormlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
